             VARIABLE : Mean TS from clear sky composite (kelvin)
             FILENAME : ISCCPMonthly_avg.nc
             FILEPATH : /usr/local/fer_dsets/data/
             SUBSET   : 93 points (TIME)
             LONGITUDE: 123.8W(-123.8)
             LATITUDE : 48.8S
                       123.8W 
                        23
 16-JAN-1994 00 /  1:  278.9
 16-FEB-1994 00 /  2:  280.0
 16-MAR-1994 00 /  3:  278.9
 16-APR-1994 00 /  4:  278.9
 16-MAY-1994 00 /  5:  277.8
 16-JUN-1994 00 /  6:  276.1
 16-JUL-1994 00 /  7:  276.1
 16-AUG-1994 00 /  8:  275.6
 16-SEP-1994 00 /  9:  275.6
 16-OCT-1994 00 / 10:  277.3
 16-NOV-1994 00 / 11:  276.7
 16-DEC-1994 00 / 12:  278.9
 16-JAN-1995 00 / 13:  281.6
 16-FEB-1995 00 / 14:  281.1
 16-MAR-1995 00 / 15:  280.0
 16-APR-1995 00 / 16:  278.9
 16-MAY-1995 00 / 17:  277.8
 16-JUN-1995 00 / 18:  276.7
 16-JUL-1995 00 / 19:  277.3
 16-AUG-1995 00 / 20:  276.1
 16-SEP-1995 00 / 21:  276.1
 16-OCT-1995 00 / 22:  276.7
 16-NOV-1995 00 / 23:  278.4
 16-DEC-1995 00 / 24:  277.8
 16-JAN-1996 00 / 25:  281.1
 16-FEB-1996 00 / 26:  283.2
 16-MAR-1996 00 / 27:  281.1
 16-APR-1996 00 / 28:  279.5
 16-MAY-1996 00 / 29:  278.4
 16-JUN-1996 00 / 30:  276.7
 16-JUL-1996 00 / 31:  276.1
 16-AUG-1996 00 / 32:  275.6
 16-SEP-1996 00 / 33:  275.6
 16-OCT-1996 00 / 34:  276.1
 16-NOV-1996 00 / 35:  277.3
 16-DEC-1996 00 / 36:  278.9
 16-JAN-1997 00 / 37:  280.5
 16-FEB-1997 00 / 38:  281.6
 16-MAR-1997 00 / 39:  280.0
 16-APR-1997 00 / 40:  278.9
 16-MAY-1997 00 / 41:  278.4
 16-JUN-1997 00 / 42:  276.7
 16-JUL-1997 00 / 43:  275.6
 16-AUG-1997 00 / 44:  275.6
 16-SEP-1997 00 / 45:  277.3
 16-OCT-1997 00 / 46:  276.7
 16-NOV-1997 00 / 47:  278.4
 16-DEC-1997 00 / 48:  279.5
 16-JAN-1998 00 / 49:  282.2
 16-FEB-1998 00 / 50:  281.6
 16-MAR-1998 00 / 51:  281.6
 16-APR-1998 00 / 52:  280.0
 16-MAY-1998 00 / 53:  278.9
 16-JUN-1998 00 / 54:  277.3
 16-JUL-1998 00 / 55:  276.7
 16-AUG-1998 00 / 56:  276.1
 16-SEP-1998 00 / 57:  276.1
 16-OCT-1998 00 / 58:  276.1
 16-NOV-1998 00 / 59:  277.8
 16-DEC-1998 00 / 60:  277.3
 16-JAN-1999 00 / 61:  278.4
 16-FEB-1999 00 / 62:  284.2
 16-MAR-1999 00 / 63:  279.5
 16-APR-1999 00 / 64:  277.3
 16-MAY-1999 00 / 65:  278.4
 16-JUN-1999 00 / 66:  275.0
 16-JUL-1999 00 / 67:  275.6
 16-AUG-1999 00 / 68:  274.4
 16-SEP-1999 00 / 69:  275.6
 16-OCT-1999 00 / 70:  276.7
 16-NOV-1999 00 / 71:  276.1
 16-DEC-1999 00 / 72:  278.4
 16-JAN-2000 00 / 73:  279.5
 16-FEB-2000 00 / 74:  279.5
 16-MAR-2000 00 / 75:  278.9
 16-APR-2000 00 / 76:  277.8
 16-MAY-2000 00 / 77:  277.8
 16-JUN-2000 00 / 78:  275.6
 16-JUL-2000 00 / 79:  275.6
 16-AUG-2000 00 / 80:  275.0
 16-SEP-2000 00 / 81:  274.4
 16-OCT-2000 00 / 82:  275.6
 16-NOV-2000 00 / 83:  277.3
 16-DEC-2000 00 / 84:  278.4
 16-JAN-2001 00 / 85:  281.1
 16-FEB-2001 00 / 86:  283.2
 16-MAR-2001 00 / 87:  281.1
 16-APR-2001 00 / 88:  279.5
 16-MAY-2001 00 / 89:  277.3
 16-JUN-2001 00 / 90:  276.7
 16-JUL-2001 00 / 91:  275.6
 16-AUG-2001 00 / 92:  274.4
 16-SEP-2001 00 / 93:  275.0
